date,min_temper,max_temper,rainfall,snow_depth
2018-01-01,-5.1,3.8,0,0
2018-01-02,-4.3,1.8,0,0
2018-01-03,-7.1,-0.4,0,0
2018-01-04,-8.7,-0.7,0,0
2018-01-05,-5.6,1.6,0,0
2018-01-06,-6.8,2.9,0,0
2018-01-07,-5.7,2.8,0,0
2018-01-08,-1.2,4,0.9,1
2018-01-09,-6.1,-1.2,0.5,1
2018-01-10,-10.3,-4.8,0.3,0.8
2018-01-11,-13.6,-7.4,0,0
2018-01-12,-15.3,-5.4,0,0
2018-01-13,-6.6,-1.2,0.4,0.6
2018-01-14,-4.4,5.4,0,0
2018-01-15,1.8,7.7,0.2,0
2018-01-16,0.1,6.8,0,0
2018-01-17,2.4,8.7,0,0
2018-01-18,0.3,4.5,0,0
2018-01-19,-2.5,5.5,0,0
2018-01-20,-1,6.9,0,0
2018-01-21,-3.7,5.5,0,0
2018-01-22,-5.3,4,3.3,1
2018-01-23,-14.6,-5.3,0,1
2018-01-24,-16.3,-10.7,0,0.9
2018-01-25,-16.4,-9.5,0,0.7
2018-01-26,-17.8,-10.7,0,0.5
2018-01-27,-15.9,-3.5,0,0.3
2018-01-28,-9.3,-1.2,0,0
2018-01-29,-11.6,-4.7,0,0
2018-01-30,-11.4,-0.8,2.9,3.5
2018-01-31,-5.2,0,0,3.5
2018-02-01,-8.8,1.2,0,1.6
2018-02-02,-7.6,3.8,0,0
2018-02-03,-10.4,-2.1,0.5,0.3
2018-02-04,-12.8,-5.2,0,0
2018-02-05,-11.8,-5.1,0,0
2018-02-06,-12.8,-5.8,0,0
2018-02-07,-13.4,-1.6,0,0
2018-02-08,-9.7,2,0,0
2018-02-09,-5.3,6.1,0,0
2018-02-10,-6.9,3.2,0,0
2018-02-11,-9.5,-2.2,0,0
2018-02-12,-9.6,-1.8,0,0
2018-02-13,-7.4,4.3,0,0
2018-02-14,-0.7,8.7,0,0
2018-02-15,-3.7,4,0,0
2018-02-16,-5.5,4.9,0,0
2018-02-17,-7.1,1.4,0,0
2018-02-18,-4.9,5.2,0,0
2018-02-19,-1.9,6.8,0,0
2018-02-20,-2.4,5.5,0,0
2018-02-21,-4.5,4.4,0,0
2018-02-22,-3.9,5.4,0.4,0.4
2018-02-23,-0.3,8.6,3.7,4.1
2018-02-24,-1.1,7.2,0,0
2018-02-25,-1.6,7.9,0,0
2018-02-26,-3.2,10.4,0,0
2018-02-27,0.6,6.9,0,0
2018-02-28,1.8,7.8,25,0
2018-03-01,-4.3,3,0.5,0
2018-03-02,-6.7,5.4,0,0
2018-03-03,-0.1,16.2,0,0
2018-03-04,7.6,11.9,11.5,0
2018-03-05,1.3,11.4,3.5,0
2018-03-06,-1.1,10.9,0,0
2018-03-07,2.2,10.7,0.5,0
2018-03-08,2.7,9.7,4,0
2018-03-09,1.4,9.6,0,0
2018-03-10,0.7,9.7,0,0
2018-03-11,2.7,12.2,0,0
2018-03-12,2.2,15.5,0,0
2018-03-13,5.2,18.8,0,0
2018-03-14,13.6,22.1,0,0
2018-03-15,8.4,16.6,27,0
2018-03-16,3.6,12.2,0,0
2018-03-17,0.5,14,0,0
2018-03-18,5.4,12.5,0.5,0
